;,ENVI Out,put,of RO,Is (5.5.1),[Tue Nov 05,11:47:24 20,19],,,
,38,433,152,772349.2,2049950.97,18.522571,-72.420327,84,107,124
,39,434,152,772349.28,2049950.97,18.522571,-72.420326,83,104,122
,40,435,152,772349.36,2049950.97,18.522571,-72.420326,83,103,120
,41,436,152,772349.44,2049950.97,18.522571,-72.420325,83,101,118
,42,437,152,772349.52,2049950.97,18.522571,-72.420324,83,100,117
,43,438,152,772349.6,2049950.97,18.522571,-72.420323,82,100,117
,44,439,152,772349.68,2049950.97,18.522571,-72.420322,80,99,115
,45,440,152,772349.76,2049950.97,18.522571,-72.420322,79,98,112
,46,441,152,772349.84,2049950.97,18.522571,-72.420321,78,95,110
,47,442,152,772349.92,2049950.97,18.522571,-72.42032,76,92,106
,48,443,152,772350,2049950.97,18.522571,-72.420319,75,89,102
,49,444,152,772350.08,2049950.97,18.522571,-72.420319,73,86,98
,50,428,153,772348.79,2049950.89,18.52257,-72.420331,92,123,141
,51,429,153,772348.87,2049950.89,18.52257,-72.42033,91,122,141
,52,430,153,772348.95,2049950.89,18.52257,-72.420329,89,119,140
,53,431,153,772349.03,2049950.89,18.52257,-72.420329,87,116,135
,54,432,153,772349.12,2049950.89,18.52257,-72.420328,86,112,130
,55,433,153,772349.2,2049950.89,18.52257,-72.420327,84,109,126
,56,434,153,772349.28,2049950.89,18.52257,-72.420326,82,105,123
,57,435,153,772349.36,2049950.89,18.52257,-72.420326,83,104,121
,58,436,153,772349.44,2049950.89,18.52257,-72.420325,83,103,119
,59,437,153,772349.52,2049950.89,18.52257,-72.420324,84,102,119
,60,438,153,772349.6,2049950.89,18.52257,-72.420323,83,102,118
,61,439,153,772349.68,2049950.89,18.52257,-72.420323,81,101,116
,62,440,153,772349.76,2049950.89,18.52257,-72.420322,80,98,112
,63,441,153,772349.84,2049950.89,18.52257,-72.420321,78,94,109
,64,442,153,772349.92,2049950.89,18.52257,-72.42032,76,91,105
,65,443,153,772350,2049950.89,18.52257,-72.420319,74,88,101
,66,444,153,772350.08,2049950.89,18.52257,-72.420319,72,85,98
,67,445,153,772350.16,2049950.89,18.52257,-72.420318,70,84,97
,68,425,154,772348.55,2049950.81,18.522569,-72.420333,91,119,140
,69,426,154,772348.63,2049950.81,18.522569,-72.420332,92,122,140
,70,427,154,772348.71,2049950.81,18.522569,-72.420332,93,124,141
,71,428,154,772348.79,2049950.81,18.522569,-72.420331,93,125,141
,72,429,154,772348.87,2049950.81,18.522569,-72.42033,92,124,141
,73,430,154,772348.95,2049950.81,18.522569,-72.420329,90,122,140
,74,431,154,772349.03,2049950.81,18.522569,-72.420329,89,116,135
,75,432,154,772349.12,2049950.81,18.522569,-72.420328,87,114,130
,76,433,154,772349.2,2049950.81,18.522569,-72.420327,84,110,126
,77,434,154,772349.28,2049950.81,18.522569,-72.420326,82,106,123
,78,435,154,772349.36,2049950.81,18.522569,-72.420326,83,106,121
,79,436,154,772349.44,2049950.81,18.522569,-72.420325,84,105,119
,80,437,154,772349.52,2049950.81,18.522569,-72.420324,86,103,118
,81,438,154,772349.6,2049950.81,18.522569,-72.420323,83,104,117
,82,439,154,772349.68,2049950.81,18.522569,-72.420323,82,101,114
,83,440,154,772349.76,2049950.81,18.522569,-72.420322,80,97,110
,84,441,154,772349.84,2049950.81,18.522569,-72.420321,78,94,106
,85,442,154,772349.92,2049950.81,18.522569,-72.42032,76,90,103
,86,443,154,772350,2049950.81,18.522569,-72.420319,74,86,100
,87,444,154,772350.08,2049950.81,18.522569,-72.420319,72,84,97
,88,445,154,772350.16,2049950.81,18.522569,-72.420318,70,84,96
,89,423,155,772348.39,2049950.72,18.522569,-72.420335,91,118,142
,90,424,155,772348.47,2049950.72,18.522569,-72.420334,91,120,143
,91,425,155,772348.55,2049950.72,18.522569,-72.420333,91,123,143
,92,426,155,772348.63,2049950.72,18.522569,-72.420332,91,124,142
,93,427,155,772348.71,2049950.72,18.522569,-72.420332,91,125,141
,94,428,155,772348.79,2049950.72,18.522569,-72.420331,92,126,141
,95,429,155,772348.87,2049950.72,18.522569,-72.42033,91,123,141
,96,430,155,772348.95,2049950.72,18.522569,-72.420329,89,119,139
,97,431,155,772349.03,2049950.72,18.522569,-72.420329,88,114,135
,98,432,155,772349.12,2049950.72,18.522569,-72.420328,86,111,130
,99,433,155,772349.2,2049950.72,18.522569,-72.420327,84,108,126
,100,434,155,772349.28,2049950.72,18.522569,-72.420326,83,104,123
,101,435,155,772349.36,2049950.72,18.522569,-72.420326,84,104,121
,102,436,155,772349.44,2049950.72,18.522569,-72.420325,84,104,119
,103,437,155,772349.52,2049950.72,18.522569,-72.420324,85,103,118
,104,438,155,772349.6,2049950.72,18.522569,-72.420323,83,102,117
,105,439,155,772349.68,2049950.72,18.522569,-72.420323,82,99,113
,106,440,155,772349.76,2049950.72,18.522569,-72.420322,80,95,109
,107,441,155,772349.84,2049950.72,18.522569,-72.420321,78,93,104
,108,442,155,772349.92,2049950.72,18.522569,-72.42032,76,89,101
,109,443,155,772350,2049950.72,18.522569,-72.420319,74,86,99
,110,444,155,772350.08,2049950.72,18.522569,-72.420319,73,86,96
,111,445,155,772350.16,2049950.72,18.522569,-72.420318,72,84,95
,112,420,156,772348.15,2049950.64,18.522568,-72.420337,88,114,143
,113,421,156,772348.23,2049950.64,18.522568,-72.420336,89,118,146
,114,422,156,772348.31,2049950.64,18.522568,-72.420335,90,120,146
,115,423,156,772348.39,2049950.64,18.522568,-72.420335,90,122,146
,116,424,156,772348.47,2049950.64,18.522568,-72.420334,90,123,146
,117,425,156,772348.55,2049950.64,18.522568,-72.420333,90,124,144
,118,426,156,772348.63,2049950.64,18.522568,-72.420332,90,124,143
,119,427,156,772348.71,2049950.64,18.522568,-72.420332,90,124,141
,120,428,156,772348.79,2049950.64,18.522568,-72.420331,90,124,141
,121,429,156,772348.87,2049950.64,18.522568,-72.42033,89,120,140
,122,430,156,772348.95,2049950.64,18.522568,-72.420329,88,116,138
,123,431,156,772349.03,2049950.64,18.522568,-72.420329,87,112,134
,124,432,156,772349.12,2049950.64,18.522568,-72.420328,86,110,131
,125,433,156,772349.2,2049950.64,18.522568,-72.420327,86,108,127
,126,434,156,772349.28,2049950.64,18.522568,-72.420326,85,104,124
,127,435,156,772349.36,2049950.64,18.522568,-72.420326,85,105,121
,128,436,156,772349.44,2049950.64,18.522568,-72.420325,85,104,119
,129,437,156,772349.52,2049950.64,18.522568,-72.420324,84,103,118
,130,438,156,772349.6,2049950.64,18.522568,-72.420323,83,101,116
,131,439,156,772349.68,2049950.64,18.522568,-72.420323,82,98,112
,132,440,156,772349.76,2049950.64,18.522568,-72.420322,81,96,108
,133,441,156,772349.84,2049950.64,18.522568,-72.420321,79,95,104
,134,442,156,772349.92,2049950.64,18.522568,-72.42032,77,91,101
,135,443,156,772350,2049950.64,18.522568,-72.420319,75,88,98
,136,444,156,772350.08,2049950.64,18.522568,-72.420319,74,88,96
,137,445,156,772350.16,2049950.64,18.522568,-72.420318,73,87,95
,138,418,157,772347.99,2049950.56,18.522567,-72.420339,90,118,141
,139,419,157,772348.07,2049950.56,18.522567,-72.420338,91,118,142
,140,420,157,772348.15,2049950.56,18.522567,-72.420337,91,120,144
,141,421,157,772348.23,2049950.56,18.522567,-72.420336,90,122,146
,142,422,157,772348.31,2049950.56,18.522567,-72.420335,90,122,145
,143,423,157,772348.39,2049950.56,18.522567,-72.420335,89,123,145
,144,424,157,772348.47,2049950.56,18.522567,-72.420334,89,124,144
,145,425,157,772348.55,2049950.56,18.522567,-72.420333,88,121,143
,146,426,157,772348.63,2049950.56,18.522567,-72.420332,88,122,142
,147,427,157,772348.71,2049950.56,18.522567,-72.420332,88,121,140
,148,428,157,772348.79,2049950.56,18.522567,-72.420331,89,119,139
,149,429,157,772348.87,2049950.56,18.522567,-72.42033,88,116,137
,150,430,157,772348.95,2049950.56,18.522567,-72.420329,87,114,135
,151,431,157,772349.03,2049950.56,18.522567,-72.420329,86,113,134
,152,432,157,772349.12,2049950.56,18.522567,-72.420328,86,111,133
,153,433,157,772349.2,2049950.56,18.522567,-72.420327,86,109,130
,154,434,157,772349.28,2049950.56,18.522567,-72.420326,87,107,126
,155,435,157,772349.36,2049950.56,18.522567,-72.420326,86,107,122
,156,436,157,772349.44,2049950.56,18.522567,-72.420325,85,104,119
,157,437,157,772349.52,2049950.56,18.522567,-72.420324,84,102,117
,158,438,157,772349.6,2049950.56,18.522567,-72.420323,83,101,115
,159,439,157,772349.68,2049950.56,18.522567,-72.420323,82,99,112
,160,440,157,772349.76,2049950.56,18.522567,-72.420322,80,98,108
,161,441,157,772349.84,2049950.56,18.522567,-72.420321,79,96,105
,162,442,157,772349.92,2049950.56,18.522567,-72.42032,77,93,101
,163,443,157,772350,2049950.56,18.522567,-72.42032,76,90,98
,164,444,157,772350.08,2049950.56,18.522567,-72.420319,75,89,95
,165,445,157,772350.16,2049950.56,18.522567,-72.420318,74,88,95
,166,446,157,772350.24,2049950.56,18.522567,-72.420317,73,88,95
,167,415,158,772347.75,2049950.48,18.522567,-72.420341,88,115,137
,168,416,158,772347.83,2049950.48,18.522567,-72.42034,89,116,140
,169,417,158,772347.91,2049950.48,18.522567,-72.420339,90,118,143
,170,418,158,772347.99,2049950.48,18.522567,-72.420339,90,120,145
,171,419,158,772348.07,2049950.48,18.522567,-72.420338,91,121,145
,172,420,158,772348.15,2049950.48,18.522567,-72.420337,90,122,146
,173,421,158,772348.23,2049950.48,18.522567,-72.420336,89,122,145
,174,422,158,772348.31,2049950.48,18.522567,-72.420335,89,121,145
,175,423,158,772348.39,2049950.48,18.522567,-72.420335,88,121,144
,176,424,158,772348.47,2049950.48,18.522567,-72.420334,87,119,143
,177,425,158,772348.55,2049950.48,18.522567,-72.420333,86,116,141
,178,426,158,772348.63,2049950.48,18.522567,-72.420332,86,116,140
,179,427,158,772348.71,2049950.48,18.522567,-72.420332,86,115,138
,180,428,158,772348.79,2049950.48,18.522567,-72.420331,87,114,136
,181,429,158,772348.87,2049950.48,18.522566,-72.42033,86,113,134
,182,430,158,772348.95,2049950.48,18.522566,-72.420329,86,113,133
,183,431,158,772349.03,2049950.48,18.522566,-72.420329,86,114,134
,184,432,158,772349.12,2049950.48,18.522566,-72.420328,86,112,135
,185,433,158,772349.2,2049950.48,18.522566,-72.420327,86,110,132
,186,434,158,772349.28,2049950.48,18.522566,-72.420326,86,109,127
,187,435,158,772349.36,2049950.48,18.522566,-72.420326,85,108,123
,188,436,158,772349.44,2049950.48,18.522566,-72.420325,84,105,120
,189,437,158,772349.52,2049950.48,18.522566,-72.420324,83,103,117
,190,438,158,772349.6,2049950.48,18.522566,-72.420323,82,102,115
,191,439,158,772349.68,2049950.48,18.522566,-72.420323,80,100,112
,192,440,158,772349.76,2049950.48,18.522566,-72.420322,79,99,109
,193,441,158,772349.84,2049950.48,18.522566,-72.420321,78,96,105
,194,442,158,772349.92,2049950.48,18.522566,-72.42032,76,93,102
,195,443,158,772350,2049950.48,18.522566,-72.42032,75,91,98
,196,444,158,772350.08,2049950.48,18.522566,-72.420319,74,89,95
,197,445,158,772350.16,2049950.48,18.522566,-72.420318,73,87,95
,198,446,158,772350.24,2049950.48,18.522566,-72.420317,72,86,95
,199,413,159,772347.59,2049950.4,18.522566,-72.420342,86,114,140
,200,414,159,772347.67,2049950.4,18.522566,-72.420342,86,116,140
,201,415,159,772347.75,2049950.4,18.522566,-72.420341,87,118,141
,202,416,159,772347.83,2049950.4,18.522566,-72.42034,88,119,143
,203,417,159,772347.91,2049950.4,18.522566,-72.420339,89,119,145
,204,418,159,772347.99,2049950.4,18.522566,-72.420339,89,120,146
,205,419,159,772348.07,2049950.4,18.522566,-72.420338,89,122,145
,206,420,159,772348.15,2049950.4,18.522566,-72.420337,89,122,144
,207,421,159,772348.23,2049950.4,18.522566,-72.420336,88,121,143
,208,422,159,772348.31,2049950.4,18.522566,-72.420335,87,119,142
,209,423,159,772348.39,2049950.4,18.522566,-72.420335,86,118,141
,210,424,159,772348.47,2049950.4,18.522566,-72.420334,85,116,140
,211,425,159,772348.55,2049950.4,18.522566,-72.420333,84,112,139
,212,426,159,772348.63,2049950.4,18.522566,-72.420332,84,111,138
,213,427,159,772348.71,2049950.4,18.522566,-72.420332,84,111,136
,214,428,159,772348.79,2049950.4,18.522566,-72.420331,84,111,134
,215,429,159,772348.87,2049950.4,18.522566,-72.42033,85,110,132
,216,430,159,772348.95,2049950.4,18.522566,-72.420329,86,111,132
,217,431,159,772349.03,2049950.4,18.522566,-72.420329,86,113,134
,218,432,159,772349.12,2049950.4,18.522566,-72.420328,86,112,135
,219,433,159,772349.2,2049950.4,18.522566,-72.420327,86,111,133
,220,434,159,772349.28,2049950.4,18.522566,-72.420326,86,110,129
,221,435,159,772349.36,2049950.4,18.522566,-72.420326,84,110,126
,222,436,159,772349.44,2049950.4,18.522566,-72.420325,83,107,123
,223,437,159,772349.52,2049950.4,18.522566,-72.420324,82,105,121
,224,438,159,772349.6,2049950.4,18.522566,-72.420323,81,104,118
,225,439,159,772349.68,2049950.4,18.522566,-72.420323,80,102,115
,226,440,159,772349.76,2049950.4,18.522566,-72.420322,78,99,111
,227,441,159,772349.84,2049950.4,18.522566,-72.420321,77,98,108
,228,442,159,772349.92,2049950.4,18.522566,-72.42032,76,94,103
,229,443,159,772350,2049950.4,18.522566,-72.42032,75,91,99
,230,444,159,772350.08,2049950.4,18.522566,-72.420319,74,89,94
,231,445,159,772350.16,2049950.4,18.522566,-72.420318,73,86,94
,232,446,159,772350.24,2049950.4,18.522566,-72.420317,72,85,94
,233,410,160,772347.35,2049950.32,18.522565,-72.420345,85,111,132
,234,411,160,772347.43,2049950.32,18.522565,-72.420344,86,112,134
,235,412,160,772347.51,2049950.32,18.522565,-72.420343,85,113,136
,236,413,160,772347.59,2049950.32,18.522565,-72.420342,85,114,137
,237,414,160,772347.67,2049950.32,18.522565,-72.420342,85,118,138
,238,415,160,772347.75,2049950.32,18.522565,-72.420341,86,121,139
,239,416,160,772347.83,2049950.32,18.522565,-72.42034,87,118,140
,240,417,160,772347.91,2049950.32,18.522565,-72.420339,87,119,140
,241,418,160,772347.99,2049950.32,18.522565,-72.420339,87,119,141
,242,419,160,772348.07,2049950.32,18.522565,-72.420338,88,118,140
,243,420,160,772348.15,2049950.32,18.522565,-72.420337,87,120,140
,244,421,160,772348.23,2049950.32,18.522565,-72.420336,86,120,139
,245,422,160,772348.31,2049950.32,18.522565,-72.420336,86,115,137
,246,423,160,772348.39,2049950.32,18.522565,-72.420335,84,116,136
,247,424,160,772348.47,2049950.32,18.522565,-72.420334,83,114,135
,248,425,160,772348.55,2049950.32,18.522565,-72.420333,82,109,135
,249,426,160,772348.63,2049950.32,18.522565,-72.420332,82,108,135
,250,427,160,772348.71,2049950.32,18.522565,-72.420332,82,108,134
,251,428,160,772348.79,2049950.32,18.522565,-72.420331,83,108,133
,252,429,160,772348.87,2049950.32,18.522565,-72.42033,84,107,132
,253,430,160,772348.95,2049950.32,18.522565,-72.420329,85,109,132
,254,431,160,772349.03,2049950.32,18.522565,-72.420329,86,110,133
,255,432,160,772349.12,2049950.32,18.522565,-72.420328,86,111,135
,256,433,160,772349.2,2049950.32,18.522565,-72.420327,86,111,133
,257,434,160,772349.28,2049950.32,18.522565,-72.420326,85,111,131
,258,435,160,772349.36,2049950.32,18.522565,-72.420326,83,111,130
,259,436,160,772349.44,2049950.32,18.522565,-72.420325,82,108,127
,260,437,160,772349.52,2049950.32,18.522565,-72.420324,81,105,125
,261,438,160,772349.6,2049950.32,18.522565,-72.420323,80,105,122
,262,439,160,772349.68,2049950.32,18.522565,-72.420323,79,101,118
,263,440,160,772349.76,2049950.32,18.522565,-72.420322,78,99,114
,264,441,160,772349.84,2049950.32,18.522565,-72.420321,77,97,110
,265,442,160,772349.92,2049950.32,18.522565,-72.42032,76,93,104
,266,443,160,772350,2049950.32,18.522565,-72.42032,75,90,99
,267,444,160,772350.08,2049950.32,18.522565,-72.420319,74,88,94
,268,445,160,772350.16,2049950.32,18.522565,-72.420318,73,84,94
,269,446,160,772350.24,2049950.32,18.522565,-72.420317,72,83,93
,270,408,161,772347.19,2049950.24,18.522565,-72.420346,83,104,121
,271,409,161,772347.27,2049950.24,18.522565,-72.420345,84,109,125
,272,410,161,772347.35,2049950.24,18.522565,-72.420345,84,111,129
,273,411,161,772347.43,2049950.24,18.522565,-72.420344,84,111,132
,274,412,161,772347.51,2049950.24,18.522564,-72.420343,83,110,134
,275,413,161,772347.59,2049950.24,18.522564,-72.420342,83,110,135
,276,414,161,772347.67,2049950.24,18.522564,-72.420342,83,113,137
,277,415,161,772347.75,2049950.24,18.522564,-72.420341,83,116,137
,278,416,161,772347.83,2049950.24,18.522564,-72.42034,83,114,137
,279,417,161,772347.91,2049950.24,18.522564,-72.420339,83,114,136
,280,418,161,772347.99,2049950.24,18.522564,-72.420339,84,113,136
,281,419,161,772348.07,2049950.24,18.522564,-72.420338,84,112,135
,282,420,161,772348.15,2049950.24,18.522564,-72.420337,83,113,135
,283,421,161,772348.23,2049950.24,18.522564,-72.420336,83,112,134
,284,422,161,772348.31,2049950.24,18.522564,-72.420336,83,109,133
,285,423,161,772348.39,2049950.24,18.522564,-72.420335,82,109,131
,286,424,161,772348.47,2049950.24,18.522564,-72.420334,81,107,131
,287,425,161,772348.55,2049950.24,18.522564,-72.420333,80,103,131
,288,426,161,772348.63,2049950.24,18.522564,-72.420332,81,105,132
,289,427,161,772348.71,2049950.24,18.522564,-72.420332,82,106,132
,290,428,161,772348.79,2049950.24,18.522564,-72.420331,82,107,131
,291,429,161,772348.87,2049950.24,18.522564,-72.42033,83,107,131
,292,430,161,772348.95,2049950.24,18.522564,-72.420329,84,108,132
,293,431,161,772349.03,2049950.24,18.522564,-72.420329,85,109,133
,294,432,161,772349.12,2049950.24,18.522564,-72.420328,84,110,135
,295,433,161,772349.2,2049950.24,18.522564,-72.420327,84,110,134
,296,434,161,772349.28,2049950.24,18.522564,-72.420326,83,110,134
,297,435,161,772349.36,2049950.24,18.522564,-72.420326,82,110,134
,298,436,161,772349.44,2049950.24,18.522564,-72.420325,82,107,132
,299,437,161,772349.52,2049950.24,18.522564,-72.420324,81,105,129
,300,438,161,772349.6,2049950.24,18.522564,-72.420323,80,105,127
,301,439,161,772349.68,2049950.24,18.522564,-72.420323,79,100,122
,302,440,161,772349.76,2049950.24,18.522564,-72.420322,78,98,117
,303,441,161,772349.84,2049950.24,18.522564,-72.420321,78,96,112
,304,442,161,772349.92,2049950.24,18.522564,-72.42032,77,92,106
,305,443,161,772350,2049950.24,18.522564,-72.42032,76,89,100
,306,444,161,772350.08,2049950.24,18.522564,-72.420319,74,87,95
,307,445,161,772350.16,2049950.24,18.522564,-72.420318,73,82,94
,308,446,161,772350.24,2049950.24,18.522564,-72.420317,72,82,93
,309,447,161,772350.32,2049950.24,18.522564,-72.420317,72,82,94
,310,408,162,772347.19,2049950.16,18.522564,-72.420346,81,102,119
,311,409,162,772347.27,2049950.16,18.522564,-72.420345,82,106,123
,312,410,162,772347.35,2049950.16,18.522564,-72.420345,82,109,126
,313,411,162,772347.43,2049950.16,18.522564,-72.420344,82,108,129
,314,412,162,772347.51,2049950.16,18.522564,-72.420343,82,106,131
,315,413,162,772347.59,2049950.16,18.522564,-72.420342,81,105,133
,316,414,162,772347.67,2049950.16,18.522564,-72.420342,81,109,133
,317,415,162,772347.75,2049950.16,18.522564,-72.420341,80,110,134
,318,416,162,772347.83,2049950.16,18.522564,-72.42034,80,109,133
,319,417,162,772347.91,2049950.16,18.522564,-72.420339,80,108,132
,320,418,162,772347.99,2049950.16,18.522564,-72.420339,80,108,131
,321,419,162,772348.07,2049950.16,18.522564,-72.420338,80,107,132
,322,420,162,772348.15,2049950.16,18.522564,-72.420337,80,108,132
,323,421,162,772348.23,2049950.16,18.522564,-72.420336,81,107,132
,324,422,162,772348.31,2049950.16,18.522564,-72.420336,81,105,130
,325,423,162,772348.39,2049950.16,18.522564,-72.420335,80,104,130
,326,424,162,772348.47,2049950.16,18.522564,-72.420334,79,103,130
,327,425,162,772348.55,2049950.16,18.522564,-72.420333,79,103,130
,328,426,162,772348.63,2049950.16,18.522564,-72.420332,80,105,131
,329,427,162,772348.71,2049950.16,18.522564,-72.420332,81,107,132
,330,428,162,772348.79,2049950.16,18.522564,-72.420331,82,107,132
,331,429,162,772348.87,2049950.16,18.522564,-72.42033,83,108,132
,332,430,162,772348.95,2049950.16,18.522564,-72.420329,83,108,132
,333,431,162,772349.03,2049950.16,18.522564,-72.420329,84,109,133
,334,432,162,772349.12,2049950.16,18.522564,-72.420328,83,110,135
,335,433,162,772349.2,2049950.16,18.522564,-72.420327,82,110,135
,336,434,162,772349.28,2049950.16,18.522564,-72.420326,82,111,135
,337,435,162,772349.36,2049950.16,18.522564,-72.420326,81,113,135
,338,436,162,772349.44,2049950.16,18.522564,-72.420325,81,110,134
,339,437,162,772349.52,2049950.16,18.522564,-72.420324,81,109,132
,340,438,162,772349.6,2049950.16,18.522563,-72.420323,80,109,130
,341,439,162,772349.68,2049950.16,18.522563,-72.420323,79,104,126
,342,440,162,772349.76,2049950.16,18.522563,-72.420322,79,100,121
,343,441,162,772349.84,2049950.16,18.522563,-72.420321,79,97,117
,344,442,162,772349.92,2049950.16,18.522563,-72.42032,78,94,110
,345,443,162,772350,2049950.16,18.522563,-72.42032,77,91,104
,346,444,162,772350.08,2049950.16,18.522563,-72.420319,75,88,98
,347,445,162,772350.16,2049950.16,18.522563,-72.420318,73,83,98
,348,446,162,772350.24,2049950.16,18.522563,-72.420317,73,82,97
,349,447,162,772350.32,2049950.16,18.522563,-72.420317,73,83,97
,350,409,163,772347.27,2049950.08,18.522563,-72.420345,80,103,122
,351,410,163,772347.35,2049950.08,18.522563,-72.420345,80,104,124
,352,411,163,772347.43,2049950.08,18.522563,-72.420344,80,103,126
,353,412,163,772347.51,2049950.08,18.522563,-72.420343,80,102,127
,354,413,163,772347.59,2049950.08,18.522563,-72.420342,80,103,127
,355,414,163,772347.67,2049950.08,18.522563,-72.420342,79,105,127
,356,415,163,772347.75,2049950.08,18.522563,-72.420341,77,106,127
,357,416,163,772347.83,2049950.08,18.522563,-72.42034,76,103,127
,358,417,163,772347.91,2049950.08,18.522563,-72.420339,77,103,126
,359,418,163,772347.99,2049950.08,18.522563,-72.420339,77,103,127
,360,419,163,772348.07,2049950.08,18.522563,-72.420338,77,103,129
,361,420,163,772348.15,2049950.08,18.522563,-72.420337,78,104,130
,362,421,163,772348.23,2049950.08,18.522563,-72.420336,78,104,130
,363,422,163,772348.31,2049950.08,18.522563,-72.420336,79,103,130
,364,423,163,772348.39,2049950.08,18.522563,-72.420335,78,102,129
,365,424,163,772348.47,2049950.08,18.522563,-72.420334,78,102,130
,366,425,163,772348.55,2049950.08,18.522563,-72.420333,78,103,131
,367,426,163,772348.63,2049950.08,18.522563,-72.420332,79,105,132
,368,427,163,772348.71,2049950.08,18.522563,-72.420332,81,107,132
,369,428,163,772348.79,2049950.08,18.522563,-72.420331,82,108,132
,370,429,163,772348.87,2049950.08,18.522563,-72.42033,82,108,132
,371,430,163,772348.95,2049950.08,18.522563,-72.420329,82,108,133
,372,431,163,772349.03,2049950.08,18.522563,-72.420329,82,108,134
,373,432,163,772349.12,2049950.08,18.522563,-72.420328,82,109,136
,374,433,163,772349.2,2049950.08,18.522563,-72.420327,81,108,136
,375,434,163,772349.28,2049950.08,18.522563,-72.420326,81,109,137
,376,435,163,772349.36,2049950.08,18.522563,-72.420326,81,113,137
,377,436,163,772349.44,2049950.08,18.522563,-72.420325,81,111,136
,378,437,163,772349.52,2049950.08,18.522563,-72.420324,81,110,135
,379,438,163,772349.6,2049950.08,18.522563,-72.420323,80,110,134
,380,439,163,772349.68,2049950.08,18.522563,-72.420323,80,106,130
,381,440,163,772349.76,2049950.08,18.522563,-72.420322,80,103,126
,382,441,163,772349.84,2049950.08,18.522563,-72.420321,79,99,121
,383,442,163,772349.92,2049950.08,18.522563,-72.42032,79,96,114
,384,443,163,772350,2049950.08,18.522563,-72.42032,78,92,108
,385,444,163,772350.08,2049950.08,18.522563,-72.420319,76,89,102
,386,445,163,772350.16,2049950.08,18.522563,-72.420318,75,84,101
,387,446,163,772350.24,2049950.08,18.522563,-72.420317,74,84,100
,388,447,163,772350.32,2049950.08,18.522563,-72.420317,74,87,100
,389,409,164,772347.27,2049950,18.522562,-72.420345,78,101,121
,390,410,164,772347.35,2049950,18.522562,-72.420345,78,103,122
,391,411,164,772347.43,2049950,18.522562,-72.420344,78,101,124
,392,412,164,772347.51,2049950,18.522562,-72.420343,78,100,124
,393,413,164,772347.59,2049950,18.522562,-72.420342,79,99,123
